YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1929,PRIVATE,68,43.665901023,-79.381806918
1929,PRIVATE,87,43.691956596,-79.39570523
1929,PRIVATE,100,43.683582922,-79.400753772
1929,PRIVATE,98,43.7221803609,-79.4019572219
1929,PRIVATE,92,43.6842251422,-79.4217235507
1929,PRIVATE,95,43.684541083,-79.4218295295
1929,PRIVATE,71,43.6804983237,-79.4302086848
1929,PRIVATE,85,43.679681068,-79.433946431
1930,PRIVATE,72,43.672312017,-79.287748332
1930,PRIVATE,75,43.683540664,-79.303119349
1930,PRIVATE,77,43.666831284,-79.315638971
1930,PRIVATE,93,43.663338169,-79.363690877
1930,PRIVATE,88,43.658966191,-79.373018745
1930,PRIVATE,77,43.7029512593,-79.3889169498
1930,PRIVATE,81,43.708337092,-79.392297556
1930,PRIVATE,93,43.685742821,-79.3945524551
1930,PRIVATE,93,43.68736014,-79.395934692
1930,PRIVATE,85,43.692681862,-79.396819192
1930,PRIVATE,70,43.702327897,-79.39779527
1930,PRIVATE,85,43.713530331,-79.398012046
1930,PRIVATE,88,43.713477488,-79.398290281
1930,PRIVATE,91,43.713358222,-79.398875082
1930,PRIVATE,89,43.719945154,-79.400723312
1930,PRIVATE,89,43.704458501,-79.406220747
1930,PRIVATE,90,43.6838687867,-79.4195252929
1930,PRIVATE,87,43.6839669504,-79.4195812784
1930,PRIVATE,84,43.6628515298,-79.4210660752
1930,PRIVATE,81,43.6873886469,-79.4223427951
1930,PRIVATE,84,43.7009995731,-79.4241109809
1930,PRIVATE,86,43.6844296831,-79.4244100118
1930,PRIVATE,87,43.6621204502,-79.4285552093
1930,PRIVATE,88,43.679604386,-79.434318956
1930,PRIVATE,89,43.679556649,-79.434507969
1930,PRIVATE,84,43.6367650301,-79.4389483513
1931,PRIVATE,99,43.672596542,-79.354244373
1931,PRIVATE,87,43.6617262315,-79.3719593369
1931,PRIVATE,88,43.666828881,-79.377465578
1931,PRIVATE,96,43.681922414,-79.399892991
1931,PRIVATE,80,43.6882314978,-79.4129731553
1931,PRIVATE,85,43.635897529,-79.432069219
1932,PRIVATE,86,43.6754276016,-79.277427743
1932,PRIVATE,94,43.674568931,-79.279856653
1932,PRIVATE,92,43.6849625997,-79.4194565721
1932,PRIVATE,84,43.6851006268,-79.4195107328
1932,PRIVATE,90,43.643424173,-79.425313227
1933,PRIVATE,83,43.6845459232,-79.4192018121
1934,PRIVATE,30,43.672231477,-79.310292507
1934,PRIVATE,100,43.6654105039,-79.3734599636
1934,PRIVATE,89,43.691498395,-79.394776135
1934,PRIVATE,91,43.693696206,-79.396743559
1935,PRIVATE,86,43.705544597,-79.402852447
1935,PRIVATE,84,43.689292945,-79.413320297
1935,PRIVATE,83,43.642859163,-79.431385378
1937,PRIVATE,92,43.6747748062,-79.2796021139
1937,PRIVATE,94,43.6746605464,-79.2797118492
1937,PRIVATE,76,43.687792561,-79.397433948
1937,PRIVATE,85,43.687102147,-79.420635756
1938,PRIVATE,78,43.687399651,-79.398937696
1938,PRIVATE,83,43.686006092,-79.417750526
1938,PRIVATE,81,43.68592338,-79.418139695
1938,PRIVATE,93,43.685882132,-79.418348616
1938,PRIVATE,80,43.6879366847,-79.4236664523
1939,PRIVATE,67,43.704097821,-79.365180559
1939,PRIVATE,86,43.6883914125,-79.4208539018
1939,PRIVATE,90,43.636137103,-79.429522246
